full_task_name,GroNLP/hateBERT,ProsusAI/finbert,albert-base-v2,bert-base-multilingual-uncased,bert-base-uncased,bert-large-uncased,bert-large-uncased-whole-word-masking-finetuned-squad,cardiffnlp/twitter-roberta-base-sentiment-latest,deepset/roberta-base-squad2,distilbert-base-uncased,distilbert-base-uncased-distilled-squad,distilbert-base-uncased-finetuned-sst-2-english,distilroberta-base,emilyalsentzer/Bio_ClinicalBERT,j-hartmann/emotion-english-distilroberta-base,microsoft/deberta-base,nlptown/bert-base-multilingual-uncased-sentiment,roberta-base,xlm-roberta-base,zhayunduo/roberta-base-stocktwits-finetuned
Abhi0072/HateXplain,0.6243176179,0.6143920596,0.6079404467,0.6039702233,0.6138957816,0.6153846154,0.6079404467,0.6263027295,0.6034739454,0.6198511166,0.6243176179,0.6099255583,0.6099255583,0.605955335,0.605955335,0.5751861042,0.5995037221,0.6094292804,0.6009925558,0.5900744417
CogComp/trec,0.958,0.946,0.928,0.954,0.974,0.954,0.974,0.974,0.97,0.964,0.964,0.966,0.96,0.944,0.95,0.972,0.964,0.97,0.956,0.966
CreativeLang/ColBERT_Humor_Detection,0.9708,0.9654,0.9686,0.9658,0.964,0.9728,0.97,0.9724,0.9776,0.961,0.9694,0.963,0.9752,0.9606,0.968,0.9746,0.9638,0.9748,0.9702,0.9636
SemEvalWorkshop/emo,0.827,0.8514,0.8312,0.8438,0.857,0.8566,0.8364,0.8416,0.8184,0.839,0.8148,0.8366,0.8114,0.8522,0.801,0.8358,0.8224,0.7982,0.8192,0.8008
SetFit/enron_spam,0.9885,0.9875,0.985,0.99,0.989,0.9905,0.99,0.9875,0.9875,0.986,0.982,0.9825,0.987,0.9845,0.981,0.989,0.99,0.9885,0.991,0.9835
SetFit/go_emotions,0.5438,0.5342,0.5532,0.5278,0.5348,0.5422,0.5338,0.5506,0.5476,0.539,0.5274,0.5276,0.5418,0.5224,0.5616,0.5394,0.5302,0.555,0.5162,0.4554
SetFit/subj,0.9585,0.9675,0.9525,0.9535,0.969,0.9695,0.966,0.965,0.9635,0.955,0.9525,0.951,0.9585,0.911,0.9575,0.9625,0.9475,0.965,0.944,0.946
Yelp/yelp_review_full,0.6026,0.5982,0.5954,0.5778,0.5968,0.6034,0.6058,0.611,0.6224,0.5832,0.5674,0.5764,0.5976,0.5738,0.6024,0.5912,0.6094,0.6236,0.592,0.6
ade-benchmark-corpus/ade_corpus_v2 (Ade_corpus_v2_classification),0.9005102041,0.9128401361,0.9111394558,0.9085884354,0.9221938776,0.9213435374,0.9141156463,0.9009353741,0.887755102,0.9085884354,0.9107142857,0.8979591837,0.8962585034,0.925170068,0.9039115646,0.9243197279,0.9145408163,0.9175170068,0.8847789116,0.9132653061
armanc/pubmed-rct20k,0.8176,0.811,0.8248,0.821,0.8404,0.823,0.8202,0.8168,0.8314,0.832,0.8176,0.8198,0.8278,0.8372,0.8216,0.807,0.822,0.8324,0.8202,0.8114
cardiffnlp/tweet_eval (emoji),0.2956,0.3012,0.2392,0.3038,0.309,0.3216,0.2738,0.4344,0.4218,0.3062,0.2968,0.2942,0.4012,0.275,0.3858,0.4088,0.28,0.4178,0.3876,0.3478
cardiffnlp/tweet_eval (emotion),0.7881773399,0.8015482055,0.7628430683,0.7769176636,0.8170302604,0.8071780436,0.7888810697,0.8402533427,0.7994370162,0.7980295567,0.7994370162,0.7719915552,0.7867698804,0.7741027445,0.7832512315,0.8135116115,0.7712878255,0.8149190711,0.7811400422,0.7832512315
cardiffnlp/tweet_eval (hate),0.5612794613,0.5818181818,0.5006734007,0.4686868687,0.568013468,0.4801346801,0.5407407407,0.5882154882,0.4912457912,0.5545454545,0.4966329966,0.568013468,0.5222222222,0.4892255892,0.4993265993,0.5824915825,0.4865319865,0.5286195286,0.5286195286,0.52996633
cardiffnlp/tweet_eval (irony),0.6887755102,0.6492346939,0.6721938776,0.6556122449,0.6479591837,0.6237244898,0.5982142857,0.7104591837,0.6211734694,0.674744898,0.6594387755,0.6058673469,0.6224489796,0.5956632653,0.5676020408,0.7193877551,0.6517857143,0.6568877551,0.6339285714,0.6785714286
