task,model,accuracy,f1,precision,recall,loss,runtime,epoch,folder_id
Abhi0072_HateXplain,GroNLP-hateBERT,0.6203473945,0.5956382161,0.6039600273,0.6203473945,0.854075253,14.345,11.0,Abhi0072_HateXplain_GroNLP-hateBERT
Abhi0072_HateXplain_emilyalsentzer-Bio,ClinicalBERT,0.6064516129,0.5679595482,0.5990939623,0.6064516129,0.9081481099,14.764,11.0,Abhi0072_HateXplain_emilyalsentzer-Bio_ClinicalBERT
CogComp_trec,ProsusAI-finbert,0.972,0.9717931383,0.9722448032,0.972,0.1309325695,3.6753,12.0,CogComp_trec_ProsusAI-finbert
CogComp_trec_emilyalsentzer-Bio,ClinicalBERT,0.922,0.9148777681,0.9256518842,0.922,0.2480106652,3.6563,11.0,CogComp_trec_emilyalsentzer-Bio_ClinicalBERT
CreativeLang_ColBERT_Humor_Detection,cardiffnlp-twitter-roberta-base-sentiment-latest,0.9752,0.9751994167,0.9752141263,0.9752,0.1083947495,34.0025,13.0,CreativeLang_ColBERT_Humor_Detection_cardiffnlp-twitter-roberta-base-sentiment-latest
CreativeLang_ColBERT_Humor_Detection_emilyalsentzer-Bio,ClinicalBERT,0.9548,0.9547863502,0.9555683576,0.9548,0.1409796327,36.4748,11.0,CreativeLang_ColBERT_Humor_Detection_emilyalsentzer-Bio_ClinicalBERT
SemEvalWorkshop_emo,GroNLP-hateBERT,0.8678,0.879035072,0.9031247587,0.8678,0.4097934663,35.6138,11.0,SemEvalWorkshop_emo_GroNLP-hateBERT
SemEvalWorkshop_emo_emilyalsentzer-Bio,ClinicalBERT,0.8236,0.8438836398,0.8901590716,0.8236,0.5369933844,36.6942,12.0,SemEvalWorkshop_emo_emilyalsentzer-Bio_ClinicalBERT
SetFit_enron_spam,ProsusAI-finbert,0.9925,0.9925001181,0.9925245525,0.9925,0.044831343,14.6775,15.0,SetFit_enron_spam_ProsusAI-finbert
SetFit_enron_spam_emilyalsentzer-Bio,ClinicalBERT,0.9865,0.9865001856,0.9865127026,0.9865,0.0873049349,14.6738,15.0,SetFit_enron_spam_emilyalsentzer-Bio_ClinicalBERT
SetFit_go_emotions,j-hartmann-emotion-english-distilroberta-base,0.5452,0.5128633479,0.5387659192,0.5452,1.617352128,17.5981,12.0,SetFit_go_emotions_j-hartmann-emotion-english-distilroberta-base
SetFit_go_emotions_emilyalsentzer-Bio,ClinicalBERT,0.5082,0.4911158428,0.4955849383,0.5082,1.7985607386,36.6267,13.0,SetFit_go_emotions_emilyalsentzer-Bio_ClinicalBERT
SetFit_subj,bert-large-uncased,0.9645,0.9645027094,0.9645174837,0.9645,0.1235758886,46.21,11.0,SetFit_subj_bert-large-uncased
SetFit_subj_emilyalsentzer-Bio,ClinicalBERT,0.941,0.941,0.941,0.941,0.1568786949,14.6606,11.0,SetFit_subj_emilyalsentzer-Bio_ClinicalBERT
Yelp_yelp_review_full,deepset-roberta-base-squad2,0.6138,0.6150458476,0.6201215247,0.6138,0.9968001842,34.2893,13.0,Yelp_yelp_review_full_deepset-roberta-base-squad2
Yelp_yelp_review_full_emilyalsentzer-Bio,ClinicalBERT,0.5684,0.5727815428,0.5821256746,0.5684,1.0118213892,36.6685,12.0,Yelp_yelp_review_full_emilyalsentzer-Bio_ClinicalBERT
