Task,Model,Accuracy,F1_Score,Loss,Epochs
Abhi0072_HateXplain,GroNLP-hateBERT,0.6203473945,0.5956382161,0.854075253,11.0
Abhi0072_HateXplain_emilyalsentzer-Bio,ClinicalBERT,0.6064516129,0.5679595482,0.9081481099,11.0
CogComp_trec,ProsusAI-finbert,0.972,0.9717931383,0.1309325695,12.0
CogComp_trec_emilyalsentzer-Bio,ClinicalBERT,0.922,0.9148777681,0.2480106652,11.0
CreativeLang_ColBERT_Humor_Detection,cardiffnlp-twitter-roberta-base-sentiment-latest,0.9752,0.9751994167,0.1083947495,13.0
CreativeLang_ColBERT_Humor_Detection_emilyalsentzer-Bio,ClinicalBERT,0.9548,0.9547863502,0.1409796327,11.0
SemEvalWorkshop_emo,GroNLP-hateBERT,0.8678,0.879035072,0.4097934663,11.0
SemEvalWorkshop_emo_emilyalsentzer-Bio,ClinicalBERT,0.8236,0.8438836398,0.5369933844,12.0
SetFit_enron_spam,ProsusAI-finbert,0.9925,0.9925001181,0.044831343,15.0
SetFit_enron_spam_emilyalsentzer-Bio,ClinicalBERT,0.9865,0.9865001856,0.0873049349,15.0
SetFit_go_emotions,j-hartmann-emotion-english-distilroberta-base,0.5452,0.5128633479,1.617352128,12.0
SetFit_go_emotions_emilyalsentzer-Bio,ClinicalBERT,0.5082,0.4911158428,1.7985607386,13.0
SetFit_subj,bert-large-uncased,0.9645,0.9645027094,0.1235758886,11.0
SetFit_subj_emilyalsentzer-Bio,ClinicalBERT,0.941,0.941,0.1568786949,11.0
Yelp_yelp_review_full,deepset-roberta-base-squad2,0.6138,0.6150458476,0.9968001842,13.0
Yelp_yelp_review_full_emilyalsentzer-Bio,ClinicalBERT,0.5684,0.5727815428,1.0118213892,12.0
ade-benchmark-corpus_ade_corpus_v2@Ade_corpus_v2_classification,zhayunduo-roberta-base-stocktwits-finetuned,0.9230442177,0.9222811782,0.2607514262,12.0
ade-benchmark-corpus_ade_corpus_v2@Ade_corpus_v2_classification_emilyalsentzer-Bio,ClinicalBERT,0.9238945578,0.925166635,0.195901081,11.0
armanc_pubmed-rct20k,distilroberta-base,0.8338,0.8319987159,0.4843399823,12.0
armanc_pubmed-rct20k_emilyalsentzer-Bio,ClinicalBERT,0.8184,0.8167439639,0.5076257586,11.0
cardiffnlp_tweet_eval@emoji,cardiffnlp-twitter-roberta-base-sentiment-latest,0.419,0.397955727,2.0363385677,13.0
cardiffnlp_tweet_eval@emoji_emilyalsentzer-Bio,ClinicalBERT,0.2802,0.2251740566,2.4559934139,13.0
cardiffnlp_tweet_eval@emotion,cardiffnlp-twitter-roberta-base-sentiment-latest,0.8092892329,0.8141374575,0.5592000484,11.0
cardiffnlp_tweet_eval@emotion_emilyalsentzer-Bio,ClinicalBERT,0.7452498241,0.7343078412,0.7034453154,12.0
cardiffnlp_tweet_eval@hate,cardiffnlp-twitter-roberta-base-sentiment-latest,0.5939393939,0.5919847345,1.164227128,11.0
cardiffnlp_tweet_eval@hate_emilyalsentzer-Bio,ClinicalBERT,0.5565656566,0.5586235833,0.8907321692,11.0
cardiffnlp_tweet_eval@irony,GroNLP-hateBERT,0.7117346939,0.7138316174,0.587561965,11.0
cardiffnlp_tweet_eval@irony_emilyalsentzer-Bio,ClinicalBERT,0.5586734694,0.5607817692,0.7201905251,11.0
cardiffnlp_tweet_eval@offensive,distilroberta-base,0.8523255814,0.8475348039,0.3728741705,12.0
cardiffnlp_tweet_eval@offensive_emilyalsentzer-Bio,ClinicalBERT,0.8325581395,0.8307377196,0.4233751297,12.0
cardiffnlp_tweet_eval@sentiment,cardiffnlp-twitter-roberta-base-sentiment-latest,0.7134,0.7114105617,0.673825264,11.0
cardiffnlp_tweet_eval@sentiment_emilyalsentzer-Bio,ClinicalBERT,0.6072,0.6072968782,0.9144753814,12.0
ccdv_patent-classification@abstract,microsoft-deberta-base,0.6156,0.6008122206,1.1943794489,13.0
ccdv_patent-classification@abstract_emilyalsentzer-Bio,ClinicalBERT,0.5652,0.5339961379,1.2359004021,12.0
climatebert_climate_commitments_actions,distilroberta-base,0.8375,0.8402713178,0.4067703784,12.0
climatebert_climate_commitments_actions_emilyalsentzer-Bio,ClinicalBERT,0.790625,0.7869312444,0.6423736811,12.0
climatebert_climate_detection,cardiffnlp-twitter-roberta-base-sentiment-latest,0.985,0.9849284278,0.1310180426,15.0
climatebert_climate_detection_emilyalsentzer-Bio,ClinicalBERT,0.94,0.9423655914,0.2091281861,12.0
climatebert_climate_specificity,distilroberta-base,0.83125,0.8232572115,0.4784666002,12.0
climatebert_climate_specificity_emilyalsentzer-Bio,ClinicalBERT,0.778125,0.7586885845,0.6020525098,12.0
climatebert_tcfd_recommendations,xlm-roberta-base,0.8,0.7943657713,0.6752825975,14.0
climatebert_tcfd_recommendations_emilyalsentzer-Bio,ClinicalBERT,0.7025,0.6634888668,0.8672913909,13.0
clinc_clinc_oos@plus,cardiffnlp-twitter-roberta-base-sentiment-latest,0.8744,0.8677658705,0.8199253082,18.0
clinc_clinc_oos@plus_emilyalsentzer-Bio,ClinicalBERT,0.8294,0.8194611252,0.9496386647,17.0
coastalchp_ledgar,GroNLP-hateBERT,0.7925585117,0.7739776245,0.9170652628,15.0
coastalchp_ledgar_emilyalsentzer-Bio,ClinicalBERT,0.7771554311,0.76169549,0.9396580458,15.0
community-datasets_yahoo_answers_topics,cardiffnlp-twitter-roberta-base-sentiment-latest,0.691,0.6822091532,1.0151083469,11.0
community-datasets_yahoo_answers_topics_emilyalsentzer-Bio,ClinicalBERT,0.6226,0.62331201,1.2027180195,12.0
cornell-movie-review-data_rotten_tomatoes,distilbert-base-uncased-finetuned-sst-2-english,0.8968105066,0.8967810766,0.2738627493,11.0
