dataset_name,subset,model_name,folder_name,status,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_loss,epoch,runtime
cardiffnlp/tweet_eval,emoji,GroNLP/hateBERT,cardiffnlp_tweet_eval@emoji_GroNLP-hateBERT,Completed,0.2956,0.213387066,0.2002728956,0.2956,2.3989620209,12.0,36.2822
cardiffnlp/tweet_eval,emoji,ProsusAI/finbert,cardiffnlp_tweet_eval@emoji_ProsusAI-finbert,Completed,0.3012,0.2199107674,0.2664154426,0.3012,2.4006614685,12.0,35.877
cardiffnlp/tweet_eval,emoji,albert-base-v2,cardiffnlp_tweet_eval@emoji_albert-base-v2,Completed,0.2392,0.1452681954,0.1071966142,0.2392,2.5824551582,17.0,42.0893
cardiffnlp/tweet_eval,emoji,bert-base-multilingual-uncased,cardiffnlp_tweet_eval@emoji_bert-base-multilingual-uncased,Completed,0.3038,0.2460214183,0.2405253378,0.3038,2.3847229481,13.0,36.1995
cardiffnlp/tweet_eval,emoji,bert-base-uncased,cardiffnlp_tweet_eval@emoji_bert-base-uncased,Completed,0.309,0.2283159831,0.2162573336,0.309,2.3601682186,12.0,35.9291
cardiffnlp/tweet_eval,emoji,bert-large-uncased,cardiffnlp_tweet_eval@emoji_bert-large-uncased,Completed,0.3216,0.272236212,0.2587833228,0.3216,2.3530504704,13.0,111.8443
cardiffnlp/tweet_eval,emoji,bert-large-uncased-whole-word-masking-finetuned-squad,cardiffnlp_tweet_eval@emoji_bert-large-uncased-whole-word-masking-finetuned-squad,Completed,0.2738,0.1975080918,0.1639334456,0.2738,2.488042593,13.0,115.6766
cardiffnlp/tweet_eval,emoji,cardiffnlp/twitter-roberta-base-sentiment-latest,cardiffnlp_tweet_eval@emoji_cardiffnlp-twitter-roberta-base-sentiment-latest,Completed,0.4344,0.3948464816,0.3980245658,0.4344,1.8974171877,13.0,33.9832
cardiffnlp/tweet_eval,emoji,deepset/roberta-base-squad2,cardiffnlp_tweet_eval@emoji_deepset-roberta-base-squad2,Completed,0.4218,0.3719920571,0.3675703404,0.4218,1.9408136606,13.0,33.7428
cardiffnlp/tweet_eval,emoji,distilbert-base-uncased,cardiffnlp_tweet_eval@emoji_distilbert-base-uncased,Completed,0.3062,0.2346235036,0.2275102144,0.3062,2.3710486889,13.0,18.5752
